videoId,title,step,time_start,time_end,brand,product,product_type,category,shade,tool,confidence,match_score,product_score,flow_mode,sequence_index
2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,foundation,155.71,265.84,Dior,Forever Skin Glow Foundation,Foundation,Skin,,,0,100,100,base-first,1
2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,concealer,266.86,367.83,NARS,Soft Matte Complete Concealer,Concealer,Skin,,beauty blender,0,100,100,base-first,2
2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,eyeshadow,484.38,579.54,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,0,100,54,base-first,3
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,foundation,263.96,403.53,MAC,Studio Fix Fluid SPF 15 Foundation,Foundation,Skin,,,0,100,100,base-first,1
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,bronzer/contour,532.82,663.42,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,beauty blender,0,100,47,base-first,2
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,eyeshadow,663.82,789.51,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,m224,0,100,83,base-first,3
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,eyeshadow,1210.68,1342.76,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,m441,0,100,100,base-first,4
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,eyeshadow,1343.72,1480.86,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,m456,0,100,100,base-first,5
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeshadow,98.63,150.04,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,39,eyes-first,1
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,brows,310.84,361.52,Anastasia Beverly Hills,Brow Brush #12,Brow Brush,Tools,,spoolie,0,100,66,eyes-first,2
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeshadow,310.84,361.52,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,spoolie,0,100,81,eyes-first,3
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeshadow,363.03,412.67,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,m433,0,100,100,eyes-first,4
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeliner,506.34,608.1,KVD Beauty,Tattoo Liner,Liquid Eyeliner,Eyes,Trooper Black,flat brush,0,100,100,eyes-first,5
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,mascara,826.3,935.62,Too Faced,Better Than Sex Mascara,Mascara,Eyes,,,0,100,100,eyes-first,6
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeshadow,1051.3,1153.36,Anastasia Beverly Hills,Soft Glam Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,43,eyes-first,7
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,eyeshadow,1153.76,1239.15,Anastasia Beverly Hills,Soft Glam Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,37,eyes-first,8
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,eyeshadow,0.0,141.25,Huda Beauty,Nude Obsessions Palette,Eyeshadow Palette,Eyes,,sponge,0,100,41,base-first,1
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,foundation,0.0,141.25,Laura Mercier,Tinted Moisturizer Natural Skin Perfector,Tinted Moisturizer,Skin,,sponge,0,100,100,base-first,2
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,foundation,0.0,141.25,Huda Beauty,GloWish Multidew Skin Tint,Skin Tint,Skin,,sponge,0,100,40,base-first,3
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,eyeshadow,265.42,405.95,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,sponge,0,100,41,base-first,4
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,concealer,550.45,691.05,NARS,Soft Matte Complete Concealer,Concealer,Skin,,,0,100,81,base-first,5
AyJ96_mYAv0,Soft Glam Makeup Tutorial,bronzer/contour,1289.54,1381.38,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,,0,100,42,base-first,1
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,eyeshadow,1251.9,1380.48,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,beauty blender,0,100,71,eyes-first,1
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,eyeshadow,1251.9,1380.48,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,beauty blender,0,100,54,eyes-first,2
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,primer,1384.64,1534.07,Smashbox,Photo Finish Foundation Primer,Primer,Skin,,beauty blender,0,100,100,eyes-first,3
